aggregate,method,estimated_result,relative_error,time_seconds
COUNT,Exact Query,20.0,0.0,0.00047160000008261704
COUNT,Uniform Sampling,20.0,0.0,0.0005499000001236709
COUNT,Stratified Sampling,40.0,1.0,0.001559300000053554
COUNT,Adaptive Sampling,20.0,0.0,0.0004168000000390748
SUM,Exact Query,3560.0,0.0,3.59000000571541e-05
SUM,Uniform Sampling,3600.0,0.011235955056179775,0.00018589999990581418
SUM,Stratified Sampling,3360.0,0.056179775280898875,0.0020492000001013366
SUM,Adaptive Sampling,3620.0,0.016853932584269662,0.002143400000022666
AVG,Exact Query,178.0,0.0,2.1000000060666935e-05
AVG,Uniform Sampling,180.0,0.011235955056179775,0.00016390000018873252
AVG,Stratified Sampling,168.0,0.056179775280898875,0.0018496000000141066
AVG,Adaptive Sampling,181.0,0.016853932584269662,0.0021917999999914173
